,NEO_REFERENCE_ID,EST_DIA_IN_M(MIN),EST_DIA_IN_M(MAX),RELATIVE_VELOCITY_KM_PER_SEC,MISS_DIST.(KILOMETERS),PERIHELION_DISTANCE,APHELION_DIST,PERIHELION_TIME,MEAN_ANOMALY,MEAN_MOTION,HAZARDOUS,RISK_CATEGORY
1205,3755113,60.89126221,136.1570015,19.18457343,70160544.0,1.061879021,3.518955469,2457602.513,113.1620819,0.284336208,0,1
1206,2006037,483.6764882,1081.533507,15.58694425,52822596.0,0.635891434,1.906394897,2458143.108,261.9255958,0.687721139,1,2
1207,3717082,167.7084622,375.0075218,15.51423398,59492580.0,1.008572935,1.4200128,2457924.037,56.32116036,0.736578279,1,2
1208,3457846,26.58,59.43468684,8.814346366,37256436.0,0.57407525,1.242025364,2457878.096,139.4231406,1.139040614,0,0
1209,3297366,133.2155667,297.8790628,16.78970428,63561092.0,0.623827818,1.513262591,2457818.804,343.6674809,0.892307872,0,1
1210,2141531,402.3045798,899.5803882,16.69308387,42149344.0,0.467200817,1.516893086,2458072.143,288.5371643,0.99748353,0,2
1211,3775203,21.32823791,47.69138982,14.68315766,62504524.0,1.051524081,1.607840778,2457933.332,43.17651996,0.642809341,0,1
1212,3769883,96.50614696,215.7943048,19.41326482,68897200.0,0.373960166,1.308209003,2457912.829,112.0207861,1.2777461,0,1
1213,3508108,581.5070396,1300.28927,14.29990363,45907348.0,1.176092358,4.188954306,2458481.231,252.1572887,0.224330752,0,2
1214,3311965,201.6299194,450.8582062,9.199112981,22810722.0,1.061529503,2.951451013,2457957.648,14.85997935,0.346775567,0,1
1215,3154513,152.9519353,342.0109247,19.0215815,45492076.0,0.635084527,1.262086345,2457644.054,313.5356912,1.066815691,0,1
1216,3369098,50.64714588,113.2504611,11.18327691,59095188.0,0.515330516,1.107209433,2458072.109,263.4115453,1.348826128,0,1
1217,3766164,31.95618867,71.45621017,11.49820845,22222310.0,0.843059905,1.329006161,2457832.862,145.9860296,0.87084231,0,1
1218,2420738,183.8886721,411.187571,16.46871427,63711976.0,0.878204776,1.102833741,2457857.96,142.5100995,0.999792071,0,1
1219,3249141,139.4938229,311.9176705,9.016770829,7370904.5,0.933142436,1.903360286,2458091.812,306.7155845,0.583544876,1,2
1220,3736203,121.4940408,271.6689341,15.01068655,64123460.0,1.08453127,1.799622039,2457866.202,76.43472878,0.569143204,0,1
1221,3370167,139.4938229,311.9176705,22.37937125,72561776.0,0.483880697,1.156763718,2457895.461,139.3409019,1.326561444,1,2
1222,3639436,278.3267681,622.3575734,14.43700911,44322460.0,0.62282592,1.024946505,2457970.789,39.15839463,1.317963008,0,2
1223,3724058,167.7084622,375.0075218,11.15420843,14970271.0,0.996828685,3.515808075,2458543.728,202.0260655,0.290806093,1,2
1224,3703080,127.2198785,284.4722965,6.115834389,62753692.0,0.808258933,2.005763673,2458161.642,264.8375333,0.590551388,1,2
1225,2349928,506.4714588,1132.504611,25.20475648,28834688.0,0.432667523,3.434419339,2458042.035,344.7738108,0.366583722,0,2
1226,3005871,201.6299194,450.8582062,14.53482709,29161198.0,0.977059278,3.001011704,2458262.809,267.8375803,0.351350257,0,1
1227,3448069,73.20739893,163.6967205,11.66768953,19365576.0,0.788045706,3.364841861,2458115.68,322.0597093,0.329400161,0,1
1228,3774009,61.6247225,137.7970686,10.1287176,26689564.0,1.092307993,1.719746192,2457882.4,69.81731119,0.59117157,0,1
